 UPDATE  The latest version of `serve` is 14.2.1
 INFO  Accepting connections at http://localhost:3100
 HTTP  11/8/2023 12:38:29 PM 192.160.20.1 GET /
 HTTP  11/8/2023 12:38:29 PM 192.160.20.1 Returned 304 in 33 ms
 HTTP  11/8/2023 12:38:29 PM 192.160.20.1 GET /static/js/main.a6f8a296.js
 HTTP  11/8/2023 12:38:29 PM 192.160.20.1 GET /static/css/main.e1693de0.css
 HTTP  11/8/2023 12:38:29 PM 192.160.20.1 Returned 304 in 3 ms
 HTTP  11/8/2023 12:38:29 PM 192.160.20.1 Returned 304 in 9 ms
 HTTP  11/8/2023 12:38:30 PM 192.160.20.1 GET /manifest.json
 HTTP  11/8/2023 12:38:30 PM 192.160.20.1 Returned 304 in 2 ms
 HTTP  11/8/2023 12:38:30 PM 192.160.20.1 GET /logo192.png
 HTTP  11/8/2023 12:38:30 PM 192.160.20.1 Returned 304 in 3 ms

 INFO  Gracefully shutting down. Please wait...
